YearMonth,State,OccurrenceCount
2017-09,WI,525
2017-09,WV,52
2017-09,WY,9
2017-10,AL,385
2017-10,AR,16
2017-10,AZ,1790
2017-10,CA,11754
2017-10,CO,1287
2017-10,CT,666
2017-10,DC,53
2017-10,DE,118
2017-10,FL,5431
2017-10,GA,2202
2017-10,IA,169
2017-10,ID,11
2017-10,IL,2250
2017-10,IN,1032
2017-10,KS,160
2017-10,KY,639
2017-10,LA,2473
2017-10,MA,937
2017-10,MD,578
2017-10,ME,38
2017-10,MI,2392
2017-10,MN,1360
2017-10,MO,753
2017-10,MS,101
2017-10,MT,9
2017-10,NC,4973
2017-10,NE,581
2017-10,NH,232
2017-10,NJ,1475
2017-10,NM,204
2017-10,NV,265
2017-10,NY,3701
2017-10,OH,1512
2017-10,OK,1742
2017-10,OR,1424
2017-10,PA,1913
2017-10,RI,303
2017-10,SC,5283
2017-10,TN,1215
2017-10,TX,7289
2017-10,UT,703
2017-10,VA,2694
2017-10,VT,19
2017-10,WA,2287
2017-10,WI,497
2017-10,WV,52
2017-10,WY,7
2017-11,AL,334
2017-11,AR,9
2017-11,AZ,1874
2017-11,CA,12070
2017-11,CO,1069
2017-11,CT,693
2017-11,DC,53
2017-11,DE,117
2017-11,FL,5649
2017-11,GA,2009
2017-11,IA,310
2017-11,ID,7
2017-11,IL,2062
2017-11,IN,577
2017-11,KS,157
2017-11,KY,328
2017-11,LA,1727
2017-11,MA,994
2017-11,MD,719
2017-11,ME,28
2017-11,MI,1429
2017-11,MN,1290
2017-11,MO,699
2017-11,MS,134
2017-11,MT,15
2017-11,NC,5726
2017-11,NE,587
2017-11,NH,237
2017-11,NJ,1320
2017-11,NM,179
2017-11,NV,339
2017-11,NY,3461
2017-11,OH,955
2017-11,OK,1629
2017-11,OR,1228
2017-11,PA,1425
2017-11,RI,326
2017-11,SC,5099
2017-11,SD,2
2017-11,TN,1233
2017-11,TX,6624
2017-11,UT,620
2017-11,VA,2263
2017-11,VT,20
2017-11,WA,1974
2017-11,WI,468
2017-11,WV,52
2017-11,WY,7
2017-12,AL,624
2017-12,AR,15
2017-12,AZ,1745
2017-12,CA,10867
2017-12,CO,1061
2017-12,CT,584
2017-12,DC,105
2017-12,DE,135
2017-12,FL,5583
2017-12,GA,1990
2017-12,IA,302
2017-12,ID,10
2017-12,IL,1767
2017-12,IN,1093
2017-12,KS,189
2017-12,KY,589
