State,Hourly,OccurrenceCount
MN,04:00,3794
MN,05:00,5200
MN,06:00,10257
MN,07:00,13885
MN,08:00,12217
MN,09:00,9119
MN,10:00,7701
MN,11:00,7199
MN,12:00,8151
MN,13:00,9016
MN,14:00,10822
MN,15:00,14550
MN,16:00,14274
MN,17:00,14182
MN,18:00,9495
MN,19:00,7279
MN,20:00,7418
MN,21:00,6815
MN,22:00,6176
MN,23:00,4062
MO,00:00,888
MO,01:00,993
MO,02:00,795
MO,03:00,689
MO,04:00,1562
MO,05:00,2153
MO,06:00,5069
MO,07:00,7298
MO,08:00,6689
MO,09:00,3393
MO,10:00,3348
MO,11:00,3381
MO,12:00,3237
MO,13:00,3349
MO,14:00,4094
MO,15:00,5396
MO,16:00,6048
MO,17:00,6006
MO,18:00,3872
MO,19:00,2551
MO,20:00,1945
MO,21:00,1727
MO,22:00,1654
MO,23:00,1186
MS,00:00,185
MS,01:00,180
MS,02:00,112
MS,03:00,96
MS,04:00,188
MS,05:00,261
MS,06:00,648
MS,07:00,1303
MS,08:00,1396
MS,09:00,786
MS,10:00,757
MS,11:00,826
MS,12:00,774
MS,13:00,765
MS,14:00,856
MS,15:00,1175
MS,16:00,1336
MS,17:00,1455
MS,18:00,758
MS,19:00,359
MS,20:00,255
MS,21:00,282
MS,22:00,225
MS,23:00,203
MT,00:00,776
MT,01:00,685
MT,02:00,619
MT,03:00,551
MT,04:00,527
MT,05:00,786
MT,06:00,1217
MT,07:00,1577
MT,08:00,1627
MT,09:00,1499
MT,10:00,1389
MT,11:00,1237
MT,12:00,1253
MT,13:00,1176
MT,14:00,1134
MT,15:00,1500
MT,16:00,1499
MT,17:00,1747
MT,18:00,1652
MT,19:00,1498
MT,20:00,1420
MT,21:00,1204
MT,22:00,1096
MT,23:00,827
NC,00:00,4057
NC,01:00,2686
NC,02:00,2765
NC,03:00,2062
NC,04:00,4640
NC,05:00,5353
NC,06:00,12874
NC,07:00,24895
NC,08:00,26641
NC,09:00,19410
NC,10:00,16705
NC,11:00,18463
NC,12:00,14824
NC,13:00,17642
NC,14:00,19500
NC,15:00,21082
NC,16:00,30138
NC,17:00,30255
NC,18:00,22069
NC,19:00,13858
NC,20:00,9060
NC,21:00,8347
NC,22:00,7326
NC,23:00,3547
ND,00:00,89
ND,01:00,66
ND,02:00,64
ND,03:00,67
ND,04:00,82
ND,05:00,92
ND,06:00,103
ND,07:00,176
ND,08:00,175
ND,09:00,204
ND,10:00,176
ND,11:00,144
ND,12:00,126
ND,13:00,163
ND,14:00,191
ND,15:00,222
ND,16:00,277
ND,17:00,253
ND,18:00,195
ND,19:00,178
ND,20:00,105
ND,21:00,131
ND,22:00,120
ND,23:00,88
NE,00:00,142
NE,01:00,69
NE,02:00,39
NE,03:00,54
NE,04:00,250
NE,05:00,592
NE,06:00,1415
NE,07:00,3202
NE,08:00,3358
NE,09:00,1702
NE,10:00,1289
NE,11:00,1389
NE,12:00,1048
NE,13:00,1105
NE,14:00,997
NE,15:00,2215
NE,16:00,3005
NE,17:00,3362
NE,18:00,1744
NE,19:00,705
NE,20:00,465
NE,21:00,341
NE,22:00,283
NE,23:00,99
NH,00:00,108
NH,01:00,59
NH,02:00,55
NH,03:00,60
NH,04:00,166
NH,05:00,235
NH,06:00,479
NH,07:00,850
NH,08:00,921
NH,09:00,633
NH,10:00,641
NH,11:00,628
NH,12:00,410
NH,13:00,493
NH,14:00,477
NH,15:00,528
NH,16:00,849
NH,17:00,960
NH,18:00,659
NH,19:00,334
NH,20:00,242
NH,21:00,169
NH,22:00,177
NH,23:00,80
NJ,00:00,2353
NJ,01:00,1803
NJ,02:00,1726
NJ,03:00,1639
NJ,04:00,2437
NJ,05:00,4060
NJ,06:00,7742
NJ,07:00,11524
NJ,08:00,10398
NJ,09:00,6991
NJ,10:00,6316
NJ,11:00,6333
NJ,12:00,5933
NJ,13:00,7124
NJ,14:00,8544
NJ,15:00,10109
NJ,16:00,10246
NJ,17:00,9816
NJ,18:00,7805
NJ,19:00,5169
NJ,20:00,3808
NJ,21:00,3321
NJ,22:00,2867
NJ,23:00,2655
NM,00:00,85
NM,01:00,78
NM,02:00,62
NM,03:00,56
NM,04:00,128
NM,05:00,213
NM,06:00,442
NM,07:00,1132
NM,08:00,1045
NM,09:00,708
NM,10:00,406
NM,11:00,437
NM,12:00,467
NM,13:00,509
NM,14:00,608
NM,15:00,856
NM,16:00,900
NM,17:00,838
NM,18:00,514
NM,19:00,272
NM,20:00,195
NM,21:00,123
NM,22:00,148
NM,23:00,103
NV,00:00,316
NV,01:00,200
NV,02:00,169
NV,03:00,217
NV,04:00,683
NV,05:00,1002
NV,06:00,1458
NV,07:00,1971
NV,08:00,1606
NV,09:00,1082
NV,10:00,844
NV,11:00,943
NV,12:00,973
NV,13:00,1045
NV,14:00,1127
NV,15:00,1495
NV,16:00,1593
NV,17:00,1562
NV,18:00,1113
NV,19:00,734
NV,20:00,534
NV,21:00,485
NV,22:00,260
NV,23:00,253
